,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Padang,-0.9492,100.3543,77.94,81,99,3.29,ID,1666202426
1,Rikitea,-23.1203,-134.9692,70.12,69,57,17.31,PF,1666202429
2,Castro,-24.7911,-50.0119,72.97,73,39,5.14,BR,1666202149
3,Meulaboh,4.1363,96.1285,76.1,87,100,1.61,ID,1666202432
4,Ushuaia,-54.8,-68.3,53.26,37,20,19.57,AR,1666202144
5,Hithadhoo,-0.6,73.0833,80.42,77,100,8.14,MV,1666202434
6,Ushtobe,45.2514,77.9838,48.33,39,100,7.58,KZ,1666202435
7,Tiksi,71.6872,128.8694,19.0,83,100,11.56,RU,1666202437
8,Port Elizabeth,-33.918,25.5701,72.32,88,16,9.28,ZA,1666202438
9,Mataura,-46.1927,168.8643,38.35,97,92,2.62,NZ,1666202440
10,Alice Town,25.7167,-79.3,75.47,85,100,18.72,BS,1666202440
11,Sperchógeia,37.0667,22.0667,68.95,88,40,0.0,GR,1666202441
12,Jamestown,42.097,-79.2353,39.06,94,100,10.36,US,1666202406
13,Sayyan,15.1718,44.3244,58.75,27,12,6.67,YE,1666202442
14,Panguna,-6.3164,155.4848,66.92,94,83,1.83,PG,1666202444
15,Esperance,-33.8667,121.9,64.27,51,2,19.17,AU,1666202445
16,Dickinson,29.4608,-95.0513,65.07,34,0,4.0,US,1666202406
17,Lebu,-37.6167,-73.65,56.52,76,75,6.51,CL,1666202446
18,Kimbe,-5.5502,150.1429,75.15,93,100,3.38,PG,1666202446
19,Atuona,-9.8,-139.0333,76.68,68,10,14.32,PF,1666202447
20,Galeana,24.8333,-100.0667,49.01,78,95,3.91,MX,1666202447
21,Kapaa,22.0752,-159.319,73.38,93,32,4.0,US,1666202447
22,San Patricio,28.017,-97.5169,69.19,24,0,8.59,US,1666202448
23,St. George's,12.0564,-61.7485,83.03,75,8,10.92,GD,1666202448
24,Hermanus,-34.4187,19.2345,64.8,90,68,14.72,ZA,1666202449
25,Port Alfred,-33.5906,26.891,73.29,89,17,12.91,ZA,1666202450
26,Nara,34.6851,135.8049,53.69,53,0,0.89,JP,1666202414
27,Chicama,-7.8447,-79.1469,71.31,61,97,11.68,PE,1666202450
28,Hambantota,6.1241,81.1185,79.5,80,98,15.82,LK,1666202452
29,Esim,4.8699,-2.2405,78.64,82,41,7.11,GH,1666202452
30,Evensk,61.95,159.2333,14.85,76,100,11.52,RU,1666202452
31,Barra de Tecoanapa,16.5167,-98.75,77.23,85,100,13.65,MX,1666202453
32,Qaanaaq,77.484,-69.3632,-0.42,71,1,8.1,GL,1666202453
33,Butaritari,3.0707,172.7902,81.03,73,82,14.88,KI,1666202454
34,Omboué,-1.5746,9.2618,77.52,88,82,10.76,GA,1666202454
35,Santa Rosa,14.3122,121.1114,78.78,95,100,5.14,PH,1666201873
36,Águilas,37.4063,-1.5829,74.53,74,90,1.92,ES,1666202454
37,Kirakira,-10.4544,161.9205,78.71,86,93,5.97,SB,1666202455
38,Faanui,-16.4833,-151.75,77.34,77,12,5.79,PF,1666202455
39,Yellowknife,62.456,-114.3525,45.12,81,100,17.27,CA,1666202456
40,Mahébourg,-20.4081,57.7,70.25,74,71,13.53,MU,1666202456
41,Barrow,71.2906,-156.7887,24.82,86,100,6.91,US,1666202457
42,Vidor,30.1316,-94.0155,60.82,27,0,5.84,US,1666202457
43,Dikson,73.5069,80.5464,33.35,98,100,10.98,RU,1666202457
44,Saint-Joseph,-21.3667,55.6167,70.18,74,28,9.89,RE,1666202458
45,Hong Kong,22.2855,114.1577,75.33,71,97,5.99,HK,1666202225
46,Kavaratti,10.5669,72.642,80.51,79,78,13.67,IN,1666202458
47,Danjiangkou,32.5428,111.5086,55.67,40,5,5.06,CN,1666202458
48,Flin Flon,54.7682,-101.865,49.98,64,100,7.0,CA,1666202459
49,Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.01,71,27,29.33,RU,1666202459
50,Hilo,19.7297,-155.09,81.28,82,90,1.01,US,1666202460
51,Genhe,50.7833,121.5167,28.45,79,6,3.44,CN,1666202460
52,Cape Town,-33.9258,18.4232,67.12,79,58,3.0,ZA,1666202459
53,Bambous Virieux,-20.3428,57.7575,70.21,74,70,14.12,MU,1666202461
54,Ancud,-41.8697,-73.8203,63.23,81,69,8.86,CL,1666202462
55,Kapit,2.0167,112.9333,73.22,99,100,0.47,MY,1666202466
56,Hobart,-42.8794,147.3294,47.05,87,27,1.14,AU,1666202467
57,Sabang,5.8933,95.3214,80.37,81,100,23.33,ID,1666202469
58,Punta Arenas,-53.15,-70.9167,51.91,43,0,28.77,CL,1666202345
59,Nikolskoye,59.7035,30.7861,37.29,89,13,6.24,RU,1666202469
60,Tarazona,41.9,-1.7333,78.62,46,100,24.25,ES,1666202470
61,Ilhabela,-23.7781,-45.3581,76.32,78,100,5.61,BR,1666202470
62,Syracuse,37.0881,15.2792,69.17,69,0,3.87,IT,1666202397
63,Clyde River,70.4692,-68.5914,10.54,79,81,4.23,CA,1666202471
64,Atyrau,47.1167,51.8833,48.22,93,13,8.95,KZ,1666202472
65,Bonavista,48.6499,-53.1147,55.38,86,83,10.6,CA,1666202472
66,Quatre Cocos,-20.2078,57.7625,70.09,74,68,14.56,MU,1666202473
67,Bilma,18.6853,12.9164,81.7,20,0,9.15,NE,1666202473
68,Guarapari,-20.6667,-40.4975,75.88,72,67,17.47,BR,1666202474
69,Isangel,-19.55,169.2667,72.66,85,93,11.23,VU,1666202474
70,Igatpuri,19.7,73.55,71.62,85,66,2.75,IN,1666202475
71,Mahon,39.8885,4.2658,72.16,88,20,4.61,ES,1666202204
72,Brigantine,39.4101,-74.3646,56.03,47,100,11.5,US,1666202477
73,Makakilo City,21.3469,-158.0858,78.62,69,47,5.88,US,1666202477
74,Carnarvon,-24.8667,113.6333,66.07,83,0,11.74,AU,1666202478
75,Erechim,-27.6342,-52.2739,72.97,69,76,1.3,BR,1666202479
76,Arraial do Cabo,-22.9661,-42.0278,73.15,86,99,22.26,BR,1666202479
77,Berezovyy,51.6667,135.7,36.81,62,100,5.48,RU,1666202480
78,Cockburn Town,21.4612,-71.1419,83.16,75,15,11.3,TC,1666202481
79,Busselton,-33.65,115.3333,57.47,87,28,4.9,AU,1666202481
80,Sistranda,63.7256,8.834,44.56,79,100,23.96,NO,1666202483
81,Chiang Klang,19.2938,100.8617,66.02,68,1,1.95,TH,1666202483
82,Broome,42.2506,-75.833,44.85,74,94,7.0,US,1666202484
83,Goderich,43.7501,-81.7165,44.91,85,97,24.47,CA,1666202485
84,Bluff,-46.6,168.3333,44.92,79,93,19.37,NZ,1666202472
85,Nhulunbuy,-12.2333,136.7667,79.41,89,68,3.44,AU,1666202486
86,Ajdabiya,30.7554,20.2263,71.58,58,77,9.24,LY,1666202486
87,Conde,-7.2597,-34.9075,81.32,59,58,17.09,BR,1666202487
88,Touros,-5.1989,-35.4608,82.29,66,13,19.24,BR,1666202491
89,Provideniya,64.3833,-173.3,35.76,98,100,33.04,RU,1666202492
90,Lázaro Cárdenas,17.9583,-102.2,79.88,83,99,2.1,MX,1666202493
91,Puerto Madryn,-42.7692,-65.0385,74.7,36,0,1.36,AR,1666202493
92,Thinadhoo,0.5333,72.9333,81.73,73,100,9.28,MV,1666202494
93,West Wendover,40.7391,-114.0733,67.8,19,79,1.7,US,1666202494
94,Acapulco de Juárez,16.8634,-99.8901,81.88,78,100,7.23,MX,1666202216
95,Opuwo,-18.0607,13.84,79.07,24,13,13.22,NA,1666202496
96,Coquimbo,-29.9533,-71.3436,62.02,60,2,8.23,CL,1666202497
97,Sola,-13.8833,167.55,81.14,77,38,18.5,VU,1666202498
98,Vostok,46.4856,135.8833,28.78,69,15,6.08,RU,1666202498
99,Avarua,-21.2078,-159.775,73.45,78,40,16.11,CK,1666202499
100,Kununurra,-15.7667,128.7333,80.58,83,89,2.3,AU,1666202499
101,Bredasdorp,-34.5322,20.0403,63.79,80,16,10.27,ZA,1666202500
102,Chokurdakh,70.6333,147.9167,-5.58,100,99,2.28,RU,1666202500
103,Viedma,-40.8135,-62.9967,76.82,39,31,18.81,AR,1666202501
104,Teknāf,20.8624,92.3058,77.49,87,4,3.02,BD,1666202501
105,Kahului,20.8947,-156.47,79.84,80,81,3.0,US,1666202501
106,Nouadhibou,20.931,-17.0347,73.2,77,2,23.51,MR,1666202502
107,Albany,42.6001,-73.9662,49.59,56,42,9.93,US,1666201953
108,Kavieng,-2.5744,150.7967,81.57,78,85,11.74,PG,1666202502
109,Brae,60.3964,-1.353,43.81,65,65,4.94,GB,1666202503
110,Saint Paul Harbor,57.79,-152.4072,40.78,80,77,3.2,US,1666202503
111,Vaini,-21.2,-175.2,74.71,82,51,6.91,TO,1666202503
112,Chui,-33.6971,-53.4616,67.96,74,59,12.28,UY,1666202505
113,Puerto Ayora,-0.7393,-90.3518,70.56,86,81,7.0,EC,1666202505
114,Krasnyy Chikoy,50.3643,108.7512,36.01,84,100,1.7,RU,1666202505
115,Chu,43.5983,73.7614,46.2,66,98,7.9,KZ,1666202506
116,Kysyl-Syr,63.8986,122.7617,15.91,94,98,7.49,RU,1666202506
117,Klaksvík,62.2266,-6.589,43.72,71,19,6.91,FO,1666202506
118,Khatanga,71.9667,102.5,16.95,96,100,7.11,RU,1666202507
119,Thompson,55.7435,-97.8558,44.47,69,95,7.56,CA,1666202420
120,Hohhot,40.8106,111.6522,49.19,47,36,0.69,CN,1666202507
121,Magadan,59.5667,150.8,20.35,56,68,14.07,RU,1666202508
122,Sompeta,18.9333,84.6,77.65,84,31,3.98,IN,1666202508
123,East London,-33.0153,27.9116,74.57,86,32,15.77,ZA,1666202508
124,Longyearbyen,78.2186,15.6401,24.64,68,75,21.85,SJ,1666202509
125,Gorontalo,0.5412,123.0595,75.27,94,90,1.97,ID,1666202509
126,Graaff-Reinet,-32.2522,24.5308,79.92,47,89,7.52,ZA,1666202509
127,Nemuro,43.3236,145.575,48.56,65,62,4.54,JP,1666202510
